depot,destination_name,destination_lat,destination_lon,distance_km,duration_min
Gare de Lyon,Pyrénées - Charles Renouvier,48.8609558,2.4004031,4.73,11.07
Gare de Lyon,La Terrasse,48.8728468,2.4296322,7.57,13.21
Gare de Lyon,La table verte,48.8793549,2.2967286,9.26,23.71
Gare de Lyon,Collège Privé Sainte-Ursule-Louise de Bettignies,48.8862736,2.2986679,8.94,23.0
Gare de Lyon,Carni,48.8814607,2.34641,5.82,16.25
Gare de Lyon,Nagano,48.8793563,2.4117339,7.63,14.41
Gare de Lyon,Galerie Richard,48.8604155,2.3649909,3.05,8.56
Gare de Lyon,Alexandre Bernard,48.8482854,2.4657579,8.74,17.06
Gare de Lyon,Bastille Saint-Antoine,48.8523781,2.3724078,2.09,5.87
Gare de Lyon,Paradise Pizza,48.8780446,2.374325,5.3,14.65
Gare de Lyon,Crèche du onze Novembre,48.8202851,2.3170049,8.98,17.0
Gare de Lyon,Madame Arthur,48.8825911,2.3395439,6.29,17.47
Gare de Lyon,Citrus,48.874747,2.315927,7.07,19.55
Gare de Lyon,Nativité de la Sainte Vierge,48.8510153,2.3355059,4.57,12.65
Gare de Lyon,Gourmet Gourmand,48.8306371,2.3542033,3.25,9.15
Gare de Lyon,Le Soleil levant,48.864844,2.3777175,3.45,9.75
Gare de Lyon,Photomaton,48.8799402,2.3564547,5.18,14.78
Gare de Lyon,Le Royal Est,48.8755247,2.3590436,4.63,12.96
Gare de Lyon,Pharmacie centrale Roquette,48.8558314,2.3749424,2.31,6.69
Gare de Lyon,Casablanca,48.8723637,2.3275412,6.39,17.86
Gare de Lyon,Traiteur Paris Gourmand,48.8743346,2.3323904,6.4,18.1
Gare de Lyon,Bataille de Paris,48.8860562,2.3658936,6.23,17.31
Gare de Lyon,Parmacie Billancourt,48.8320073,2.2377004,15.29,25.71
Gare de Lyon,Olympiades,48.826922,2.3652354,3.19,8.75
Gare de Lyon,Caféteria Universitaire Pitié,48.8369923,2.3602414,2.62,7.06
Gare de Lyon,L'Adelita,48.849523,2.3793092,1.45,3.98
Gare de Lyon,Centre Médico Psychologique,48.8844227,2.3835441,6.63,18.07
Gare de Lyon,Société Générale,48.8864487,2.2315289,13.94,29.93
Gare de Lyon,Florentina,48.8609553,2.3782967,2.87,8.15
Gare de Lyon,LCL,48.8645036,2.398308,4.38,12.22
Gare de Lyon,Théâtre Montparnasse,48.8395247,2.3235358,5.57,15.28
Gare de Lyon,Crèche Les Cigognes,48.8304325,2.2783283,12.15,21.87
Gare de Lyon,À la mémoire des élèves de cette école,48.8835444,2.3408704,6.38,17.88
Gare de Lyon,Pharmacie Dahan,48.8684612,2.372393,3.82,10.8
Gare de Lyon,Stèle à Jean Perrin,48.8668747,2.3112455,6.83,18.25
Gare de Lyon,Issot,48.8284106,2.3159398,6.91,17.89
Gare de Lyon,Shakespeare Brunch,48.8814897,2.3366731,6.41,17.77
Gare de Lyon,Abri Maurice Gardette n°11-03,48.8610809,2.3790108,3.16,8.97
Gare de Lyon,Porte Saint-Martin,48.8685995,2.3557832,4.13,11.45
Gare de Lyon,Louise,48.8428721,2.357807,2.31,6.15
Gare de Lyon,Café Du Théatre,48.8784708,2.3315444,7.08,19.6
Gare de Lyon,Alla Follia,48.8950213,2.2941713,9.81,24.06
Gare de Lyon,Pharmacie de la porte des Lilas,48.8769048,2.4071896,6.86,13.18
Gare de Lyon,Sakanaya,48.8721705,2.391395,5.23,14.6
Gare de Lyon,Verdun - Adrien Damalix,48.8221748,2.4216012,5.98,10.82
Gare de Lyon,Villa Borghese,48.8423412,2.3297238,4.84,13.21
Gare de Lyon,Pharmacie Labi,48.8618383,2.3830584,3.16,8.95
Gare de Lyon,LCL,48.8912446,2.4019198,9.46,17.06
Gare de Lyon,Le Lutèce,48.852728,2.3435275,3.73,10.15
Gare de Lyon,Gaur,48.8444306,2.35884,3.23,8.76
Gare de Lyon,Nino Fresco,48.8638994,2.3457364,4.78,13.55
Gare de Lyon,L'Esprit de Famille,48.848858,2.3647633,1.93,5.35
Gare de Lyon,Le Royal Malakoff,48.8197316,2.3066939,9.67,16.77
Gare de Lyon,Pouss'poussette - Antenne des Épinettes,48.8167246,2.2591735,14.12,25.4
Gare de Lyon,Cœur de Ville,48.8479448,2.4394634,5.66,12.21
Gare de Lyon,Chicken Broadway,48.8625582,2.4155041,6.05,12.32
Gare de Lyon,Pierrot,48.8641319,2.3484339,4.53,12.66
Gare de Lyon,Halte-garderie,48.8594064,2.3702185,3.46,9.6
Gare de Lyon,Popolare,48.8680921,2.3433017,5.96,16.55
Gare de Lyon,Mademoiselle Amande,48.8466238,2.4348226,5.52,12.28
Gare de Lyon,Kyûden,48.8931065,2.2853501,10.66,26.36
Gare de Lyon,Théophile Alexandre Steinlen,48.8896381,2.3368213,7.17,20.14
Gare de Lyon,La Table des Gourmets,48.8592384,2.3496761,3.69,10.09
Gare de Lyon,Noisette,48.8422334,2.3297388,4.83,13.18
Gare de Lyon,LCL,48.8184156,2.3188258,8.64,16.35
Gare de Lyon,Parc Beaubourg,48.8626579,2.3536619,4.65,13.13
Gare de Lyon,Galerie des Rois,48.8532766,2.3491135,3.66,9.79
Gare de Lyon,Les 5,48.8396674,2.3497245,3.41,9.42
Gare de Lyon,Club Montmartre - Cercle de Jeux,48.8831871,2.3278138,7.12,19.73
Gare de Lyon,École Internationale des métiers de la culture et du marché de l'art,48.8664077,2.3790054,3.75,10.66
Gare de Lyon,École élémentaire Manin,48.8840985,2.3910764,8.61,16.73
Gare de Lyon,Sushi Masséna,48.8306485,2.381366,2.3,6.24
Gare de Lyon,Édicule Guimard,48.8713885,2.2778727,9.82,23.72
Gare de Lyon,Alley Gallery,48.8855327,2.3387362,6.63,18.56
Gare de Lyon,Les Gentlemen du Jeu,48.8642707,2.3977237,4.42,12.39
Gare de Lyon,Chalet des Gaufres,48.8813183,2.3841244,6.52,17.92
Gare de Lyon,La Mascotte Montmartre,48.8857113,2.3355174,7.03,19.68
Gare de Lyon,Motsuya,48.8706353,2.3585345,4.8,13.5
Gare de Lyon,Pierre Dac,48.8627758,2.3962618,4.82,13.32
Gare de Lyon,Centre de Pneumologie de l'Enfant,48.8352616,2.2442898,14.99,25.46
Gare de Lyon,Le wok café,48.8366994,2.3489176,3.45,9.51
Gare de Lyon,Pharmacie de Neuilly,48.8822111,2.2772346,10.13,24.93
Gare de Lyon,Little Apple,48.8621984,2.3628573,3.51,10.05
